bitstring,energy,feasible_exactly_one_per_pair,pair0_sum,pair1_sum,pair2_sum
000000,30.0,False,0,0,0
000001,21.0,False,0,0,1
000010,22.5,False,0,0,1
000011,33.5,False,0,0,2
000100,21.5,False,0,1,0
000101,12.75,False,0,1,1
000110,14.0,False,0,1,1
000111,25.25,False,0,1,2
001000,22.0,False,0,1,0
001001,13.0,False,0,1,1
001010,14.5,False,0,1,1
001011,25.5,False,0,1,2
001100,33.5,False,0,2,0
001101,24.75,False,0,2,1
001110,26.0,False,0,2,1
001111,37.25,False,0,2,2
010000,23.0,False,1,0,0
010001,14.0,False,1,0,1
010010,15.5,False,1,0,1
010011,26.5,False,1,0,2
010100,14.5,False,1,1,0
010101,5.75,True,1,1,1
010110,7.0,True,1,1,1
010111,18.25,False,1,1,2
011000,16.0,False,1,1,0
011001,7.0,True,1,1,1
011010,8.5,True,1,1,1
011011,19.5,False,1,1,2
011100,27.5,False,1,2,0
011101,18.75,False,1,2,1
011110,20.0,False,1,2,1
011111,31.25,False,1,2,2
100000,21.0,False,1,0,0
100001,12.0,False,1,0,1
100010,14.25,False,1,0,1
100011,25.25,False,1,0,2
100100,13.0,False,1,1,0
100101,4.25,True,1,1,1
100110,6.25,True,1,1,1
100111,17.5,False,1,1,2
101000,13.0,False,1,1,0
101001,4.0,True,1,1,1
101010,6.25,True,1,1,1
101011,17.25,False,1,1,2
101100,25.0,False,1,2,0
101101,16.25,False,1,2,1
101110,18.25,False,1,2,1
101111,29.5,False,1,2,2
110000,34.0,False,2,0,0
110001,25.0,False,2,0,1
110010,27.25,False,2,0,1
110011,38.25,False,2,0,2
110100,26.0,False,2,1,0
110101,17.25,False,2,1,1
110110,19.25,False,2,1,1
110111,30.5,False,2,1,2
111000,27.0,False,2,1,0
111001,18.0,False,2,1,1
111010,20.25,False,2,1,1
111011,31.25,False,2,1,2
111100,39.0,False,2,2,0
111101,30.25,False,2,2,1
111110,32.25,False,2,2,1
111111,43.5,False,2,2,2
