operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,4,human,1,3,4,249
1,0,1,3,machine,4,3,7,740
2,0,2,2,machine,7,4,11,1224
3,0,3,0,machine,11,2,13,1643
4,1,0,6,human,1,4,5,2550
5,1,1,5,human,6,5,11,3034
6,1,2,2,machine,11,2,13,3399
7,1,3,2,machine,13,3,16,3952
8,2,0,2,machine,1,4,5,4482
9,2,1,1,machine,5,2,7,4963
10,2,2,1,machine,7,3,10,5517
11,2,3,1,machine,11,4,15,6064
12,3,0,5,human,0,3,3,6837
13,3,1,0,machine,5,3,8,7086
14,3,2,3,machine,8,4,12,7813
15,3,3,3,machine,12,2,14,8358
