base_instance,seed,instance_file,status,objective_scaled,objective_unscaled,wall_time,num_operations,num_resources,num_time_slots,num_binary_variables,bitstring,selected_variables,feasible,num_violations,processing,start_time,workload,ergonomic,safety,original_cost,assignment_start_penalty,skill_penalty,horizon_penalty,precedence_penalty,resource_overlap_penalty,robot_utilization_penalty,total_penalty,total_cost,schedule
sample_3x3,1001,data/augmented/batch/sample_3x3_hc_seed1001_time_indexed.json,OPTIMAL,292.0,29.2,0.048554,9,6,34,1836,001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,9,True,0,23.0,6.2,0.0,0.0,0.0,29.2,0.0,0.0,0.0,0.0,0.0,0,0.0,29.2,"{'O0_0': [{'resource': 'M0', 'start': 2, 'duration': 3, 'end': 5}], 'O0_1': [{'resource': 'R0', 'start': 5, 'duration': 2, 'end': 7}], 'O0_2': [{'resource': 'M2', 'start': 7, 'duration': 2, 'end': 9}], 'O1_0': [{'resource': 'M0', 'start': 0, 'duration': 2, 'end': 2}], 'O1_1': [{'resource': 'M2', 'start': 2, 'duration': 1, 'end': 3}], 'O1_2': [{'resource': 'M1', 'start': 4, 'duration': 4, 'end': 8}], 'O2_0': [{'resource': 'M1', 'start': 0, 'duration': 4, 'end': 4}], 'O2_1': [{'resource': 'M2', 'start': 4, 'duration': 3, 'end': 7}], 'O2_2': [{'resource': 'M0', 'start': 7, 'duration': 2, 'end': 9}]}"
sample_3x3,1002,data/augmented/batch/sample_3x3_hc_seed1002_time_indexed.json,OPTIMAL,292.0,29.2,0.044116,9,6,34,1836,001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,9,True,0,23.0,6.2,0.0,0.0,0.0,29.2,0.0,0.0,0.0,0.0,0.0,0,0.0,29.2,"{'O0_0': [{'resource': 'M0', 'start': 2, 'duration': 3, 'end': 5}], 'O0_1': [{'resource': 'R0', 'start': 5, 'duration': 2, 'end': 7}], 'O0_2': [{'resource': 'M2', 'start': 7, 'duration': 2, 'end': 9}], 'O1_0': [{'resource': 'M0', 'start': 0, 'duration': 2, 'end': 2}], 'O1_1': [{'resource': 'M2', 'start': 2, 'duration': 1, 'end': 3}], 'O1_2': [{'resource': 'M1', 'start': 4, 'duration': 4, 'end': 8}], 'O2_0': [{'resource': 'M1', 'start': 0, 'duration': 4, 'end': 4}], 'O2_1': [{'resource': 'M2', 'start': 4, 'duration': 3, 'end': 7}], 'O2_2': [{'resource': 'M0', 'start': 7, 'duration': 2, 'end': 9}]}"
sample_3x3,1003,data/augmented/batch/sample_3x3_hc_seed1003_time_indexed.json,OPTIMAL,298.0,29.8,0.052034000000000004,9,6,34,1836,001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,9,True,0,23.0,6.8,0.0,0.0,0.0,29.8,0.0,0.0,0.0,0.0,0.0,0,0.0,29.8,"{'O0_0': [{'resource': 'M0', 'start': 2, 'duration': 3, 'end': 5}], 'O0_1': [{'resource': 'M1', 'start': 5, 'duration': 2, 'end': 7}], 'O0_2': [{'resource': 'R0', 'start': 7, 'duration': 2, 'end': 9}], 'O1_0': [{'resource': 'M0', 'start': 0, 'duration': 2, 'end': 2}], 'O1_1': [{'resource': 'M2', 'start': 2, 'duration': 1, 'end': 3}], 'O1_2': [{'resource': 'M1', 'start': 7, 'duration': 4, 'end': 11}], 'O2_0': [{'resource': 'M1', 'start': 0, 'duration': 4, 'end': 4}], 'O2_1': [{'resource': 'M2', 'start': 4, 'duration': 3, 'end': 7}], 'O2_2': [{'resource': 'M0', 'start': 7, 'duration': 2, 'end': 9}]}"
sample_3x3,1004,data/augmented/batch/sample_3x3_hc_seed1004_time_indexed.json,OPTIMAL,290.0,29.0,0.038667,9,6,34,1836,100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,9,True,0,23.0,6.000000000000001,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0,0.0,29.0,"{'O0_0': [{'resource': 'M0', 'start': 0, 'duration': 3, 'end': 3}], 'O0_1': [{'resource': 'M1', 'start': 4, 'duration': 2, 'end': 6}], 'O0_2': [{'resource': 'M2', 'start': 7, 'duration': 2, 'end': 9}], 'O1_0': [{'resource': 'R0', 'start': 0, 'duration': 2, 'end': 2}], 'O1_1': [{'resource': 'M2', 'start': 2, 'duration': 1, 'end': 3}], 'O1_2': [{'resource': 'M1', 'start': 6, 'duration': 4, 'end': 10}], 'O2_0': [{'resource': 'M1', 'start': 0, 'duration': 4, 'end': 4}], 'O2_1': [{'resource': 'M2', 'start': 4, 'duration': 3, 'end': 7}], 'O2_2': [{'resource': 'M0', 'start': 7, 'duration': 2, 'end': 9}]}"
sample_3x3,1005,data/augmented/batch/sample_3x3_hc_seed1005_time_indexed.json,OPTIMAL,292.0,29.2,0.05631100000000001,9,6,34,1836,001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,9,True,0,23.0,6.2,0.0,0.0,0.0,29.2,0.0,0.0,0.0,0.0,0.0,0,0.0,29.2,"{'O0_0': [{'resource': 'M0', 'start': 2, 'duration': 3, 'end': 5}], 'O0_1': [{'resource': 'R0', 'start': 5, 'duration': 2, 'end': 7}], 'O0_2': [{'resource': 'M2', 'start': 7, 'duration': 2, 'end': 9}], 'O1_0': [{'resource': 'M0', 'start': 0, 'duration': 2, 'end': 2}], 'O1_1': [{'resource': 'M2', 'start': 2, 'duration': 1, 'end': 3}], 'O1_2': [{'resource': 'M1', 'start': 4, 'duration': 4, 'end': 8}], 'O2_0': [{'resource': 'M1', 'start': 0, 'duration': 4, 'end': 4}], 'O2_1': [{'resource': 'M2', 'start': 4, 'duration': 3, 'end': 7}], 'O2_2': [{'resource': 'M0', 'start': 7, 'duration': 2, 'end': 9}]}"
sample_3x3,1006,data/augmented/batch/sample_3x3_hc_seed1006_time_indexed.json,OPTIMAL,298.0,29.8,0.046542,9,6,33,1782,001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,9,True,0,23.0,6.8,0.0,0.0,0.0,29.8,0.0,0.0,0.0,0.0,0.0,0,0.0,29.8,"{'O0_0': [{'resource': 'M0', 'start': 2, 'duration': 3, 'end': 5}], 'O0_1': [{'resource': 'M1', 'start': 5, 'duration': 2, 'end': 7}], 'O0_2': [{'resource': 'R0', 'start': 7, 'duration': 2, 'end': 9}], 'O1_0': [{'resource': 'M0', 'start': 0, 'duration': 2, 'end': 2}], 'O1_1': [{'resource': 'M2', 'start': 2, 'duration': 1, 'end': 3}], 'O1_2': [{'resource': 'M1', 'start': 7, 'duration': 4, 'end': 11}], 'O2_0': [{'resource': 'M1', 'start': 0, 'duration': 4, 'end': 4}], 'O2_1': [{'resource': 'M2', 'start': 4, 'duration': 3, 'end': 7}], 'O2_2': [{'resource': 'M0', 'start': 7, 'duration': 2, 'end': 9}]}"
sample_3x3,1007,data/augmented/batch/sample_3x3_hc_seed1007_time_indexed.json,OPTIMAL,294.0,29.4,0.050161000000000004,9,6,33,1782,001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,9,True,0,22.0,6.400000000000001,0.0,0.0,1.0,29.400000000000002,0.0,0.0,0.0,0.0,0.0,0,0.0,29.400000000000002,"{'O0_0': [{'resource': 'M0', 'start': 2, 'duration': 3, 'end': 5}], 'O0_1': [{'resource': 'M1', 'start': 7, 'duration': 2, 'end': 9}], 'O0_2': [{'resource': 'M2', 'start': 9, 'duration': 2, 'end': 11}], 'O1_0': [{'resource': 'M0', 'start': 0, 'duration': 2, 'end': 2}], 'O1_1': [{'resource': 'M2', 'start': 2, 'duration': 1, 'end': 3}], 'O1_2': [{'resource': 'M1', 'start': 3, 'duration': 4, 'end': 7}], 'O2_0': [{'resource': 'R0', 'start': 0, 'duration': 3, 'end': 3}], 'O2_1': [{'resource': 'M2', 'start': 3, 'duration': 3, 'end': 6}], 'O2_2': [{'resource': 'M0', 'start': 6, 'duration': 2, 'end': 8}]}"
sample_3x3,1008,data/augmented/batch/sample_3x3_hc_seed1008_time_indexed.json,OPTIMAL,308.0,30.8,0.047275000000000005,9,6,34,1836,001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000,9,True,0,23.0,6.8,0.0,0.0,1.0,30.8,0.0,0.0,0.0,0.0,0.0,0,0.0,30.8,"{'O0_0': [{'resource': 'M0', 'start': 2, 'duration': 3, 'end': 5}], 'O0_1': [{'resource': 'M1', 'start': 5, 'duration': 2, 'end': 7}], 'O0_2': [{'resource': 'M2', 'start': 7, 'duration': 2, 'end': 9}], 'O1_0': [{'resource': 'M0', 'start': 0, 'duration': 2, 'end': 2}], 'O1_1': [{'resource': 'M2', 'start': 2, 'duration': 1, 'end': 3}], 'O1_2': [{'resource': 'M1', 'start': 7, 'duration': 4, 'end': 11}], 'O2_0': [{'resource': 'M1', 'start': 0, 'duration': 4, 'end': 4}], 'O2_1': [{'resource': 'M2', 'start': 4, 'duration': 3, 'end': 7}], 'O2_2': [{'resource': 'R0', 'start': 7, 'duration': 2, 'end': 9}]}"
sample_3x3,1009,data/augmented/batch/sample_3x3_hc_seed1009_time_indexed.json,OPTIMAL,302.0,30.2,0.042690000000000006,9,6,34,1836,001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,9,True,0,23.0,6.2,0.0,0.0,1.0,30.2,0.0,0.0,0.0,0.0,0.0,0,0.0,30.2,"{'O0_0': [{'resource': 'M0', 'start': 2, 'duration': 3, 'end': 5}], 'O0_1': [{'resource': 'R0', 'start': 5, 'duration': 2, 'end': 7}], 'O0_2': [{'resource': 'M2', 'start': 7, 'duration': 2, 'end': 9}], 'O1_0': [{'resource': 'M0', 'start': 0, 'duration': 2, 'end': 2}], 'O1_1': [{'resource': 'M2', 'start': 2, 'duration': 1, 'end': 3}], 'O1_2': [{'resource': 'M1', 'start': 4, 'duration': 4, 'end': 8}], 'O2_0': [{'resource': 'M1', 'start': 0, 'duration': 4, 'end': 4}], 'O2_1': [{'resource': 'M2', 'start': 4, 'duration': 3, 'end': 7}], 'O2_2': [{'resource': 'M0', 'start': 7, 'duration': 2, 'end': 9}]}"
sample_3x3,1010,data/augmented/batch/sample_3x3_hc_seed1010_time_indexed.json,OPTIMAL,290.0,29.0,0.043047,9,6,34,1836,001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,9,True,0,23.0,6.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0,0.0,29.0,"{'O0_0': [{'resource': 'M0', 'start': 2, 'duration': 3, 'end': 5}], 'O0_1': [{'resource': 'M1', 'start': 5, 'duration': 2, 'end': 7}], 'O0_2': [{'resource': 'M2', 'start': 7, 'duration': 2, 'end': 9}], 'O1_0': [{'resource': 'M0', 'start': 0, 'duration': 2, 'end': 2}], 'O1_1': [{'resource': 'M2', 'start': 2, 'duration': 1, 'end': 3}], 'O1_2': [{'resource': 'R0', 'start': 3, 'duration': 4, 'end': 7}], 'O2_0': [{'resource': 'M1', 'start': 0, 'duration': 4, 'end': 4}], 'O2_1': [{'resource': 'M2', 'start': 4, 'duration': 3, 'end': 7}], 'O2_2': [{'resource': 'M0', 'start': 7, 'duration': 2, 'end': 9}]}"
