human_reward,target_deviation_penalty,human_assignments_mean,human_assignments_std,human_assignments_min,human_assignments_max,distance_from_target_mean,distance_from_target_std,distance_from_target_min,distance_from_target_max,total_cost_without_reward_mean,total_cost_without_reward_std,total_cost_without_reward_min,total_cost_without_reward_max,adjusted_objective_manual_mean,adjusted_objective_manual_std,adjusted_objective_manual_min,adjusted_objective_manual_max,workload_mean,workload_std,workload_min,workload_max,ergonomic_mean,ergonomic_std,ergonomic_min,ergonomic_max,wall_seconds_mean,wall_seconds_std,wall_seconds_min,wall_seconds_max
0.0,0.0,0.0,0.0,0,0,4.0,0.0,4,4,45.685,1.3283343789205422,44.15,47.849999999999994,45.685,1.3283343789205422,44.15,47.849999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.901627492904663,0.13981290870785862,1.7685778141021729,2.2704081535339355
0.0,0.5,0.0,0.0,0,0,4.0,0.0,4,4,45.685,1.3283343789205424,44.15,47.85,47.685,1.3283343789205424,46.15,49.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.084909725189209,0.31268437534103083,1.5459580421447754,2.6995770931243896
0.0,1.0,0.0,0.0,0,0,4.0,0.0,4,4,45.685,1.3283343789205424,44.15,47.85,49.685,1.3283343789205424,48.15,51.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0935611009597777,0.2866934461966163,1.5168719291687012,2.6363368034362793
0.0,2.0,1.3,0.9486832980505138,0,3,2.7,0.9486832980505138,1,4,48.075,2.282329463021889,44.75,50.55,53.475,1.2728467656748366,52.05,55.55,1.3,0.9486832980505138,0.0,3.0,0.8400000000000001,0.5966573556070519,0.0,1.7999999999999998,2.05128870010376,0.19411466860619794,1.5586810111999512,2.269126892089844
0.0,3.0,4.0,0.0,4,4,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,2.045289182662964,0.16078735529958227,1.6177990436553955,2.1843390464782715
0.0,4.0,4.0,0.0,4,4,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,2.0576630592346192,0.1696993975207683,1.6082470417022705,2.199363946914673
1.0,0.0,0.0,0.0,0,0,4.0,0.0,4,4,45.685,1.3283343789205415,44.15,47.849999999999994,45.685,1.3283343789205415,44.15,47.849999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9138463258743286,0.04944658709865294,1.8318049907684328,2.007556676864624
1.0,0.5,0.0,0.0,0,0,4.0,0.0,4,4,45.685,1.3283343789205417,44.15,47.85,47.685,1.3283343789205417,46.15,49.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.039775252342224,0.17360749327862535,1.6010100841522217,2.2355360984802246
1.0,1.0,1.3,0.9486832980505138,0,3,2.7,0.9486832980505138,1,4,48.075,2.282329463021888,44.75,50.55,49.475,1.2728467656748368,48.05,51.55,1.3,0.9486832980505138,0.0,3.0,0.8400000000000001,0.5966573556070519,0.0,1.7999999999999998,2.037741994857788,0.18610159934810702,1.6040818691253662,2.338989019393921
1.0,2.0,4.0,0.0,4,4,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,50.305,1.466751891463282,48.60000000000001,52.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,2.0186605930328367,0.16139060644808575,1.578075885772705,2.1329078674316406
1.0,3.0,4.0,0.0,4,4,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,50.305,1.466751891463282,48.60000000000001,52.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,2.013941216468811,0.14567285387520001,1.6250669956207275,2.1215908527374268
1.0,4.0,4.0,0.0,4,4,0.0,0.0,0,0,54.30499999999999,1.4667518914632833,52.60000000000001,56.74999999999999,50.305,1.4667518914632833,48.60000000000001,52.74999999999999,4.55,0.4972144630058766,4.0,5.5,2.85,0.43011626335213127,2.4,3.5999999999999996,2.0179930210113524,0.16313087042019492,1.5903749465942385,2.1632039546966553
2.0,0.0,1.3,0.6749485577105528,0,2,2.7,0.6749485577105528,2,4,48.075,1.8997441348186286,46.05,50.55,45.475,1.2728467656748366,44.05,47.55,1.3,0.6749485577105528,0.0,2.0,0.8400000000000001,0.4427188724235731,0.0,1.5,1.903131937980652,0.04727488357428811,1.8020360469818115,1.958164930343628
2.0,0.5,3.5,0.7071067811865476,2,4,0.5,0.7071067811865476,0,2,52.995000000000005,1.5734692737881972,50.150000000000006,55.150000000000006,46.245,1.405633506841508,44.60000000000001,48.55,3.95,0.9264628073124863,2.0,5.0,2.43,0.498998997994986,1.5,3.3,1.9731063365936279,0.1550803866660846,1.5636320114135742,2.1602816581726074
2.0,1.0,4.0,0.0,4,4,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,46.305,1.466751891463282,44.60000000000001,48.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,1.9792815685272216,0.14765263214455568,1.5795109272003174,2.1260180473327637
2.0,2.0,4.0,0.0,4,4,0.0,0.0,0,0,54.30499999999999,1.4667518914632833,52.60000000000001,56.74999999999999,46.305,1.4667518914632833,44.60000000000001,48.74999999999999,4.55,0.4972144630058766,4.0,5.5,2.85,0.43011626335213127,2.4,3.5999999999999996,2.0032064437866213,0.18392151449447383,1.5459251403808594,2.258046865463257
2.0,3.0,4.0,0.0,4,4,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,46.305,1.466751891463282,44.60000000000001,48.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,1.9914985179901123,0.15896138583607697,1.5499188899993896,2.0945169925689697
2.0,4.0,4.0,0.0,4,4,0.0,0.0,0,0,54.30499999999999,1.4667518914632833,52.60000000000001,56.74999999999999,46.305,1.4667518914632833,44.60000000000001,48.74999999999999,4.55,0.4972144630058766,4.0,5.5,2.85,0.43011626335213127,2.4,3.5999999999999996,1.9688752174377442,0.14791247245948702,1.5733449459075928,2.118651866912842
2.5,0.0,4.0,1.247219128924647,3,7,0.8,0.9189365834726815,0,3,54.225,2.6500786151860987,50.9,59.95,44.225,1.4320245963126605,42.45,46.55,4.5,1.5275252316519465,3.0,8.0,2.85,0.8860022573334678,2.1,5.1000000000000005,1.889095091819763,0.05390447169248141,1.814305067062378,1.9539268016815183
2.5,0.5,4.0,0.0,4,4,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,44.305,1.466751891463282,42.60000000000001,46.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,1.9519774675369264,0.14096166476557262,1.5558667182922363,2.026093006134033
2.5,1.0,4.0,0.0,4,4,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,44.305,1.466751891463282,42.60000000000001,46.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,1.9583511829376221,0.15514494712847457,1.5587241649627686,2.1223678588867188
2.5,2.0,4.0,0.0,4,4,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,44.305,1.466751891463282,42.60000000000001,46.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,1.966760015487671,0.13492813735262307,1.5915589332580566,2.0299057960510254
2.5,3.0,4.0,0.0,4,4,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,44.305,1.466751891463282,42.60000000000001,46.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,1.968870759010315,0.14040254279846273,1.5891289710998535,2.0892019271850586
2.5,4.0,4.0,0.0,4,4,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,44.305,1.466751891463282,42.60000000000001,46.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,1.9639366626739503,0.1415556435037866,1.57574725151062,2.0826780796051025
3.0,0.0,8.6,1.505545305418162,5,10,4.6,1.5055453054181622,1,6,67.07000000000001,3.378132291337593,59.55,70.60000000000001,41.27,1.9039724554496864,38.599999999999994,44.55,10.65,2.135025370653317,6.5,13.0,7.08,1.3870832707519765,4.2,9.3,1.9107170581817627,0.0471945127329325,1.818197011947632,1.982179880142212
3.0,0.5,4.4,0.9660917830792958,4,7,0.4,0.9660917830792958,0,3,55.285000000000004,2.312051758359518,52.60000000000001,59.95,42.285000000000004,1.492955681414108,40.45,44.74999999999999,4.95,1.279105590289993,4.0,8.0,3.15,0.7648529270389179,2.4,5.1000000000000005,1.9799437046051025,0.16080706203263803,1.5460569858551023,2.1320960521698
3.0,1.0,4.0,0.0,4,4,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,42.305,1.466751891463282,40.60000000000001,44.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,1.9779483556747437,0.1523524496063312,1.552807092666626,2.0729987621307373
3.0,2.0,4.0,0.0,4,4,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,42.305,1.466751891463282,40.60000000000001,44.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,1.979921078681946,0.15763319951339685,1.5478429794311523,2.123167037963867
3.0,3.0,4.0,0.0,4,4,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,42.305,1.466751891463282,40.60000000000001,44.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,2.0474063396453857,0.27991310564699773,1.5727190971374512,2.7303078174591064
3.0,4.0,4.0,0.0,4,4,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,42.305,1.466751891463282,40.60000000000001,44.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,1.9853313446044922,0.15412584224293693,1.5666959285736084,2.104822158813477
