human_reward,lambda_target,settings,feasible_rate,target_consistent_rate,mean_human_count,mean_distance_from_target,mean_energy,min_energy,max_energy
0.0,0.0,3,1.0,0.0,0.0,1.0,4.7,4.699999999999999,4.7
0.0,0.5,3,1.0,0.0,0.0,1.0,5.2,5.199999999999999,5.2
0.0,1.0,3,1.0,0.0,0.0,1.0,5.7,5.699999999999999,5.7
0.0,2.0,3,1.0,0.0,0.0,1.0,6.7,6.699999999999999,6.7
0.0,3.0,3,1.0,1.0,1.0,0.0,7.300000000000001,7.300000000000001,7.300000000000001
1.0,0.0,3,1.0,0.0,0.0,1.0,4.7,4.699999999999999,4.7
1.0,0.5,3,1.0,0.0,0.0,1.0,5.2,5.199999999999999,5.2
1.0,1.0,3,1.0,0.0,0.0,1.0,5.7,5.699999999999999,5.7
1.0,2.0,3,1.0,1.0,1.0,0.0,6.300000000000001,6.300000000000001,6.300000000000001
1.0,3.0,3,1.0,1.0,1.0,0.0,6.300000000000001,6.300000000000001,6.300000000000001
2.0,0.0,3,1.0,0.0,0.0,1.0,4.7,4.699999999999999,4.7
2.0,0.5,3,1.0,0.0,0.0,1.0,5.2,5.199999999999999,5.2
2.0,1.0,3,1.0,1.0,1.0,0.0,5.300000000000001,5.300000000000001,5.300000000000001
2.0,2.0,3,1.0,1.0,1.0,0.0,5.300000000000001,5.300000000000001,5.300000000000001
2.0,3.0,3,1.0,1.0,1.0,0.0,5.300000000000001,5.300000000000001,5.300000000000001
3.0,0.0,3,1.0,0.0,2.0,1.0,4.1000000000000005,4.1000000000000005,4.100000000000001
3.0,0.5,3,1.0,1.0,1.0,0.0,4.300000000000001,4.300000000000001,4.300000000000001
3.0,1.0,3,1.0,1.0,1.0,0.0,4.300000000000001,4.300000000000001,4.300000000000001
3.0,2.0,3,1.0,1.0,1.0,0.0,4.300000000000001,4.300000000000001,4.300000000000001
3.0,3.0,3,1.0,1.0,1.0,0.0,4.300000000000001,4.300000000000001,4.300000000000001
4.0,0.0,3,1.0,0.0,2.0,1.0,2.1000000000000005,2.0999999999999996,2.1000000000000014
4.0,0.5,3,1.0,0.0,2.0,1.0,2.6000000000000005,2.5999999999999996,2.6000000000000014
4.0,1.0,3,1.0,0.0,2.0,1.0,3.1,3.0999999999999996,3.1000000000000014
4.0,2.0,3,1.0,1.0,1.0,0.0,3.3000000000000007,3.3000000000000007,3.3000000000000007
4.0,3.0,3,1.0,1.0,1.0,0.0,3.3000000000000007,3.3000000000000007,3.3000000000000007
