bitstring,manual_energy,is_manual_best,is_qaoa_solution
000000,30.0,False,False
000001,21.0,False,False
000010,22.5,False,False
000011,33.5,False,False
000100,21.5,False,False
000101,12.75,False,False
000110,14.0,False,False
000111,25.25,False,False
001000,22.0,False,False
001001,13.0,False,False
001010,14.5,False,False
001011,25.5,False,False
001100,33.5,False,False
001101,24.75,False,False
001110,26.0,False,False
001111,37.25,False,False
010000,23.0,False,False
010001,14.0,False,False
010010,15.5,False,False
010011,26.5,False,False
010100,14.5,False,False
010101,5.75,False,False
010110,7.0,False,False
010111,18.25,False,False
011000,16.0,False,False
011001,7.0,False,False
011010,8.5,False,False
011011,19.5,False,False
011100,27.5,False,False
011101,18.75,False,False
011110,20.0,False,False
011111,31.25,False,False
100000,21.0,False,False
100001,12.0,False,False
100010,14.25,False,False
100011,25.25,False,False
100100,13.0,False,False
100101,4.25,False,False
100110,6.25,False,False
100111,17.5,False,False
101000,13.0,False,False
101001,4.0,True,True
101010,6.25,False,False
101011,17.25,False,False
101100,25.0,False,False
101101,16.25,False,False
101110,18.25,False,False
101111,29.5,False,False
110000,34.0,False,False
110001,25.0,False,False
110010,27.25,False,False
110011,38.25,False,False
110100,26.0,False,False
110101,17.25,False,False
110110,19.25,False,False
110111,30.5,False,False
111000,27.0,False,False
111001,18.0,False,False
111010,20.25,False,False
111011,31.25,False,False
111100,39.0,False,False
111101,30.25,False,False
111110,32.25,False,False
111111,43.5,False,False
